code	title
000	No other category applies
101	Foreign Special Relationships: Positive
102	Foreign Special Relationships: Negative
103	Anti-Imperialism
104	Military: Positive
105	Military: Negative
106	Peace
107	Internationalism: Positive
108	European Community/Union: Positive
109	Internationalism: Negative
110	European Community/Union: Negative
201	Freedom and Human Rights
202	Democracy
203	Constitutionalism: Positive
204	Constitutionalism: Negative
301	Decentralization
302	Centralisation
303	Governmental and Administrative Efficiency
304	Political Corruption
305	Political Authority
401	Free Market Economy
402	Incentives: Positive
403	Market Regulation
404	Economic Planning
405	Corporatism/Mixed Economy
406	Protectionism: Positive
407	Protectionism: Negative
408	Economic Goals
409	Keynesian Demand Management
410	Economic Growth: Positive
411	Technology and Infrastructure: Positive
412	Controlled Economy
413	Nationalisation
414	Economic Orthodoxy
415	Marxist Analysis
416	Anti-Growth Economy: Positive
501	Environmental Protection
502	Culture: Positive
503	Equality: Positive
504	Welfare State Expansion
505	Welfare State Limitation
506	Education Expansion
507	Education Limitation
601	National Way of Life: Positive
602	National Way of Life: Negative
603	Traditional Morality: Positive
604	Traditional Morality: Negative
605	Law and Order: Positive
606	Civic Mindedness: Positive
607	Multiculturalism: Positive
608	Multiculturalism: Negative
701	Labour Groups: Positive
702	Labour Groups: Negative
703	Agriculture and Farmers: Positive
704	Middle Class and Professional Groups
705	Underprivileged Minority Groups
706	Non-economic Demographic Groups

